Date,Open,High,Low,Close,Adj Close,Volume
2001-10-18,10.634667,10.634667,10.162015,10.398341,4.100554,1295985
2001-10-19,10.398341,10.398341,9.925689,10.162015,4.007360,1158146
2001-10-22,10.162015,10.162015,9.925689,10.162015,4.007360,74684
2001-10-23,10.162015,10.162015,10.162015,10.162015,4.007360,0
2001-10-24,10.162015,10.398341,9.925689,10.162015,4.007360,354806
2001-10-25,10.162015,10.162015,10.162015,10.162015,4.007360,208927
2001-10-26,10.162015,10.162015,9.925689,9.925689,3.914165,94784
2001-10-29,10.162015,10.162015,9.925689,9.925689,3.914165,589757
2001-10-30,9.689363,9.689363,9.689363,9.689363,3.820971,437742
2001-10-31,9.689363,9.925689,9.689363,9.689363,3.820971,360942
2001-11-01,9.689363,9.689363,9.689363,9.689363,3.820971,130328
2001-11-02,9.689363,9.925689,9.453037,9.453037,3.727777,279592
2001-11-05,9.642098,9.642098,9.453037,9.453037,3.727777,175499
2001-11-06,9.453037,9.642098,9.453037,9.547568,3.765055,339679
2001-11-07,9.547568,9.547568,9.263977,9.311242,3.671860,536864
2001-11-08,9.311242,9.453037,9.311242,9.453037,3.727777,225747
2001-11-09,9.453037,9.453037,9.453037,9.453037,3.727777,0
2001-11-12,9.405772,9.453037,9.358507,9.405772,3.709138,224266
2001-11-13,9.311242,9.358507,9.311242,9.358507,3.690499,325186
2001-11-14,9.453037,9.547568,9.358507,9.405772,3.709138,324234
2001-11-15,9.358507,9.547568,9.358507,9.405772,3.709138,866705
2001-11-16,9.453037,9.736628,9.453037,9.736628,3.839609,2210188
2001-11-19,9.831159,10.587402,9.831159,10.587402,4.175110,3652476
2001-11-20,10.870993,11.627236,10.870993,11.532706,4.547888,5970567
2001-11-21,11.721766,11.910827,11.532706,11.816297,4.659720,3914826
2001-11-22,12.005357,12.667070,12.005357,12.005357,4.734275,7065559
2001-11-23,12.194418,12.478009,12.005357,12.288949,4.846109,3923606
2001-11-26,12.572540,12.667070,12.005357,12.005357,4.734275,1622547
2001-11-27,12.099888,12.478009,12.099888,12.194418,4.808832,1674911
2001-11-28,12.099888,12.288949,11.910827,12.288949,4.846109,1256950
2001-11-29,12.099888,13.423313,12.099888,13.328783,5.256165,12170902
2001-11-30,13.517844,13.706904,13.234252,13.517844,5.330719,9090834
2001-12-03,13.706904,13.895965,13.234252,13.234252,5.218887,3879493
2001-12-04,13.234252,13.612374,12.761601,13.612374,5.367999,6588146
2001-12-05,13.612374,13.612374,13.612374,13.612374,5.367999,0
2001-12-06,13.990495,14.463147,13.895965,14.179556,5.591665,14958577
2001-12-07,14.368617,14.368617,13.517844,13.706904,5.405276,3577580
2001-12-10,13.706904,13.706904,13.706904,13.706904,5.405276,0
2001-12-11,13.706904,13.801435,13.423313,13.517844,5.330719,3167024
2001-12-12,13.517844,14.557678,13.517844,14.463147,5.703498,7378792
2001-12-13,14.557678,14.557678,13.895965,13.895965,5.479831,7649075
2001-12-14,13.706904,14.841269,13.612374,14.557678,5.740777,10575119
2001-12-17,14.652208,14.935799,14.463147,14.557678,5.740777,5992253
2001-12-18,14.652208,14.746738,13.895965,13.895965,5.479831,3239064
2001-12-19,14.085026,14.368617,14.085026,14.274087,5.628943,3290688
2001-12-20,14.368617,15.030330,14.274087,14.841269,5.852609,12444782
2001-12-21,14.746738,14.841269,14.179556,14.368617,5.666221,9532068
2001-12-24,14.463147,15.219390,14.463147,14.841269,5.852609,9999007
2001-12-25,14.935799,15.030330,14.557678,14.652208,5.778054,2966665
2001-12-26,14.841269,15.408451,14.841269,14.935799,5.889887,12409978
2001-12-27,15.124860,16.542816,14.935799,15.219390,6.001719,19735877
2001-12-28,15.408451,15.502981,15.124860,15.313921,6.038998,14172798
2001-12-31,15.313921,15.313921,15.313921,15.313921,6.038998,0
2002-01-01,15.313921,15.313921,15.313921,15.313921,6.038998,0
2002-01-02,15.597512,15.597512,15.124860,15.313921,6.038998,11059725
2002-01-03,15.313921,15.313921,15.313921,15.313921,6.038998,0
2002-01-04,15.692042,15.786573,15.313921,15.408451,6.076276,13557123
2002-01-07,15.502981,15.502981,15.124860,15.124860,5.964443,5005163
2002-01-08,14.935799,15.313921,14.935799,15.030330,5.927166,4822999
2002-01-09,15.219390,15.313921,14.841269,14.841269,5.852609,3685587
2002-01-10,14.935799,15.219390,14.652208,15.030330,5.927166,3190191
2002-01-11,15.219390,15.219390,14.935799,14.935799,5.889887,3701138
2002-01-14,14.935799,15.786573,14.935799,15.502981,6.113553,16519980
2002-01-15,15.502981,15.692042,15.219390,15.408451,6.076276,14831845
2002-01-16,15.692042,16.353756,15.597512,15.692042,6.188110,29522255
2002-01-17,15.597512,15.786573,15.313921,15.597512,6.150830,7816746
2002-01-18,15.786573,15.786573,15.124860,15.124860,5.964443,4036480
2002-01-21,15.219390,15.219390,14.652208,14.746738,5.815331,3675432
2002-01-22,14.746738,15.124860,14.746738,15.124860,5.964443,2508717
2002-01-23,15.124860,15.881103,15.124860,15.881103,6.262664,9095383
2002-01-24,16.070164,16.164694,15.597512,15.692042,6.188110,11529521
2002-01-25,15.975633,16.353756,15.597512,15.597512,6.150830,17161150
2002-01-28,15.786573,15.881103,15.408451,15.502981,6.113553,3321789
2002-01-29,15.597512,16.070164,15.502981,15.881103,6.262664,5893660
